,ouu_det_power,ouu_exp_power,det_exp_power,det_det_power,base_exp_power,base_det_power,ws,dir
48,-6795144.763405987,7339734.8518,7252390.3069,-6951979.431,7256151.5573,-6342523.955908793,6.0,330
49,-7471015.686853619,7955317.2497,7854697.2681,-7581433.674,7944523.0417,-7502999.098640987,6.0,320
50,-7825875.568152538,8101433.1969,8095593.6787,-7839413.356,8086177.1,-7802162.21453298,6.0,310
51,-7430975.380915296,8024333.9056,7967711.2509,-7501506.29,8008883.0094,-7242749.6961252615,6.0,300
52,-10858171.807984535,12285912.818,11976290.498,-10991085.74,12239296.408,-10657083.365384027,7.0,0
53,-12863699.549987603,13080488.817,13074835.226,-12878059.95,13071477.016,-12877038.42983824,7.0,10
54,-12162522.413875367,12268658.808,12242234.193,-12211249.57,12127486.021,-11775009.428576201,7.0,20
55,-10815641.553443866,11520282.631,11359897.765,-11095185.87,11456149.25,-10284569.756879412,7.0,30
56,-12220870.03135999,12600740.379,12547364.405,-12307142.22,12569131.749,-12198100.974661596,7.0,40
57,-12678007.867952894,12755334.355,12739432.78,-12693395.27,12719002.906,-12654579.980133798,7.0,50
58,-11718086.68734422,12528779.133,12400275.921,-11913638.45,12518492.88,-11549568.351975963,7.0,60
59,-12331745.028363679,12641501.831,12624602.939,-12364193.24,12620860.486,-12202788.169181772,7.0,350
60,-12065140.83771902,12136955.815,12127357.569,-12133762.41,12050881.844,-11815903.84615101,7.0,340
